"no","station","date","Vinyl chloride","1,3-Butadiene","Dichloromethane","Chloroform","1,2-Dichloroethane","Benzene","Trichloroethylene","1,2-Dichloropropane","Tetrachloroethylene"
1,"(#1) Wat Sophon Public Health Center",2020-01-09,0.11,0.005,1.8,0.15,1.6,5.2,0.005,0.01,0.005
1,"(#1) Wat Sophon Public Health Center",2020-02-04,0.005,0.005,0.5,0.14,0.13,1.7,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2020-03-05,0.005,0.005,0.41,0.005,0.11,1.6,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2020-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2020-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2020-06-11,0.03,2,NA,0.005,0.14,4,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2020-07-09,0.09,0.005,0.37,0.005,0.17,2.8,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2020-08-04,0.45,4.8,0.22,0.005,0.32,2.9,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2020-09-01,0.38,0.005,1.3,0.005,0.06,4.8,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2020-10-05,0.05,0.005,1.9,0.07,0.005,3.3,0.35,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2020-11-02,0.24,0.06,4.9,0.19,0.66,5.1,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2020-12-02,0.005,0.005,2.9,0.24,0.8,2.8,0.005,0.51,0.05
1,"(#1) Wat Sophon Public Health Center",2021-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2021-02-11,0.02,0.005,1.5,0.24,0.19,4.4,0.005,0.015,0.21
1,"(#1) Wat Sophon Public Health Center",2021-03-10,0.005,0.005,1.5,0.21,0.005,3,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2021-04-06,2.5,0.005,2.3,0.06,0.23,3.3,0.005,0.01,0.06
1,"(#1) Wat Sophon Public Health Center",2021-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2021-06-08,2.1,2.8,0.37,0.05,2.2,2.6,0.07,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2021-07-06,0.33,0.005,0.2,0.005,0.33,3,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2021-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2021-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2021-10-04,0.62,0.005,2.3,0.09,0.08,3,0.12,0.015,0.1
1,"(#1) Wat Sophon Public Health Center",2021-11-04,0.38,0.005,3.3,0.15,0.37,2.6,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2021-12-02,0.005,0.005,1.6,0.005,0.19,1.2,0.005,0.015,0.005
1,"(#1) Wat Sophon Public Health Center",2022-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2022-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2022-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"(#1) Wat Sophon Public Health Center",2022-05-29,0.43,1.4,0.54,0.13,3.8,1.8,0.002,0.0025,0.005
1,"(#1) Wat Sophon Public Health Center",2022-06-14,0.005,0.45,0.34,5e-04,0.12,0.94,0.002,0.002,0.005
1,"(#1) Wat Sophon Public Health Center",2022-07-05,0.12,0.39,3.6,0.04,0.28,2.2,0.002,0.0025,0.005
1,"(#1) Wat Sophon Public Health Center",2022-08-02,0.005,2.8,0.31,5e-04,0.005,1.7,0.0025,0.0025,0.01
1,"(#1) Wat Sophon Public Health Center",2022-09-06,0.4,1.5,0.75,0.15,0.8,2.1,0.002,0.0025,0.005
1,"(#1) Wat Sophon Public Health Center",2022-10-03,0.08,0.005,NA,NA,0.06,NA,0.002,0.0025,0.005
1,"(#1) Wat Sophon Public Health Center",2022-11-03,0.005,0.005,3.9,0.23,0.5,2.8,0.27,0.0025,0.005
1,"(#1) Wat Sophon Public Health Center",2022-12-07,0.005,0.005,5.8,0.32,0.65,2.4,0.002,0.3,0.005
1,"(#1) Wat Sophon Public Health Center",2023-01-10,0.005,0.005,2.8,NA,0.36,1.7,0.002,0.0025,0.005
1,"(#1) Wat Sophon Public Health Center",2023-02-07,0.005,0.82,0.72,5e-04,0.005,1.9,0.002,0.0025,0.005
1,"(#1) Wat Sophon Public Health Center",2023-03-08,0.005,0.005,1.1,5e-04,0.27,1.7,0.002,0.0025,0.005
